# unified_batch: max_base=20, sizes [3, 6], k in [1, 2]
# 30542 coprime BaseSets enumerated
# A                              k   R        route   c*           T*           extra       
  {3,4,5,10,20}                  1   1.247    CFH     11           64           step=5 
  {3,4,5,10,20}                  2   1.247    CFH     1055         3125         step=5 
  {3,4,5,11,12}                  1   1.274    CFH     22           64           step=5 
  {3,4,5,11,12}                  2   1.274    CFH     664          1024         step=6 
  {3,4,5,11,13}                  1   1.267    CFH     10           64           step=5 
  {3,4,5,11,13}                  2   1.267    CFH     937          3125         step=7 
  {3,4,5,11,14}                  1   1.26     CFH     10           64           step=5 
  {3,4,5,11,14}                  2   1.26     CFH     824          2744         step=7 
  {3,4,5,11,15}                  1   1.255    CFH     10           64           step=4 
  {3,4,5,11,15}                  2   1.255    CFH     928          3125         step=6 
  {3,4,5,11,16}                  1   1.25     CFH     26           121          step=5 
  {3,4,5,11,16}                  2   1.25     CFH     824          3125         step=6 
  {3,4,5,11,17}                  1   1.246    CFH     10           64           step=4 
  {3,4,5,11,17}                  2   1.246    CFH     980          3125         step=7 
  {3,4,5,11,18}                  1   1.242    CFH     10           64           step=5 
  {3,4,5,11,18}                  2   1.242    CFH     828          3125         step=7 
  {3,4,5,11,19}                  1   1.239    CFH     10           64           step=6 
  {3,4,5,11,19}                  2   1.239    CFH     1189         3125         step=7 
  {3,4,5,11,20}                  1   1.236    CFH     26           64           step=6 
  {3,4,5,11,20}                  2   1.236    CFH     946          3125         step=7 
  {3,4,5,12,13}                  1   1.258    CFH     11           64           step=5 
  {3,4,5,12,13}                  2   1.258    CFH     977          3125         step=7 
  {3,4,5,12,14}                  1   1.251    CFH     11           64           step=5 
  {3,4,5,12,14}                  2   1.251    CFH     807          2744         step=6 
  {3,4,5,12,15}                  1   1.246    CFH     11           64           step=5 
  {3,4,5,12,15}                  2   1.246    CFH     977          3125         step=6 
  {3,4,5,12,16}                  1   1.241    CFH     22           64           step=5 
  {3,4,5,12,16}                  2   1.241    CFH     799          3125         step=6 
  {3,4,5,12,17}                  1   1.237    CFH     11           64           step=5 
  {3,4,5,12,17}                  2   1.237    CFH     880          3125         step=6 
  {3,4,5,12,18}                  1   1.233    CFH     11           64           step=6 
  {3,4,5,12,18}                  2   1.233    CFH     787          1024         step=7 
  {3,4,5,12,19}                  1   1.23     CFH     11           64           step=6 
  {3,4,5,12,19}                  2   1.23     CFH     905          3125         step=7 
  {3,4,5,12,20}                  1   1.227    CFH     22           64           step=6 
  {3,4,5,12,20}                  2   1.227    CFH     807          1024         step=6 
  {3,4,5,13,14}                  1   1.244    CFH     15           64           step=5 
  {3,4,5,13,14}                  2   1.244    CFH     1136         2744         step=7 
  {3,4,5,13,15}                  1   1.238    CFH     11           64           step=6 
  {3,4,5,13,15}                  2   1.238    CFH     977          3125         step=7 
  {3,4,5,13,16}                  1   1.233    CFH     15           64           step=7 
  {3,4,5,13,16}                  2   1.233    CFH     1233         3125         step=7 
  {3,4,5,13,17}                  1   1.229    CFH     15           64           step=6 
  {3,4,5,13,17}                  2   1.229    CFH     752          3125         step=7 
  {3,4,5,13,18}                  1   1.225    CFH     15           64           step=6 
  {3,4,5,13,18}                  2   1.225    CFH     876          3125         step=7 
  {3,4,5,13,19}                  1   1.222    CFH     15           64           step=6 
  {3,4,5,13,19}                  2   1.222    CFH     913          3125         step=7 
  {3,4,5,13,20}                  1   1.219    CFH     15           64           step=6 
  {3,4,5,13,20}                  2   1.219    CFH     1233         3125         step=7 
  {3,4,5,14,15}                  1   1.232    CFH     11           64           step=7 
  {3,4,5,14,15}                  2   1.232    CFH     842          2744         step=5 
  {3,4,5,14,16}                  1   1.227    CFH     15           64           step=7 
  {3,4,5,14,16}                  2   1.227    CFH     2416         15625        step=4 
  {3,4,5,14,17}                  1   1.223    CFH     15           64           step=6 
  {3,4,5,14,17}                  2   1.223    CFH     608          2744         step=5 
  {3,4,5,14,18}                  1   1.219    CFH     15           64           step=6 
  {3,4,5,14,18}                  2   1.219    CFH     967          2744         step=5 
  {3,4,5,14,19}                  1   1.216    CFH     15           64           step=6 
  {3,4,5,14,19}                  2   1.216    CFH     1004         2744         step=5 
  {3,4,5,14,20}                  1   1.213    CFH     15           64           step=6 
  {3,4,5,14,20}                  2   1.213    CFH     825          2744         step=5 
  {3,4,5,15,16}                  1   1.221    CFH     26           64           step=7 
  {3,4,5,15,16}                  2   1.221    CFH     928          3125         step=5 
  {3,4,5,15,17}                  1   1.217    CFH     11           64           step=7 
  {3,4,5,15,17}                  2   1.217    CFH     1050         3125         step=5 
  {3,4,5,15,18}                  1   1.214    CFH     11           64           step=6 
  {3,4,5,15,18}                  2   1.214    CFH     852          3125         step=5 
  {3,4,5,15,19}                  1   1.21     CFH     11           64           step=6 
  {3,4,5,15,19}                  2   1.21     CFH     3067         15625        step=6 
  {3,4,5,15,20}                  1   1.207    CFH     26           64           step=6 
  {3,4,5,15,20}                  2   1.207    CFH     1189         3125         step=5 
  {3,4,5,16,17}                  1   1.213    CFH     15           64           step=7 
  {3,4,5,16,17}                  2   1.213    CFH     928          3125         step=5 
  {3,4,5,16,18}                  1   1.209    CFH     15           64           step=6 
  {3,4,5,16,18}                  2   1.209    CFH     2489         15625        step=6 
  {3,4,5,16,19}                  1   1.206    CFH     15           64           step=6 
  {3,4,5,16,19}                  2   1.206    CFH     1300         3125         step=5 
  {3,4,5,16,20}                  1   1.203    CFH     26           64           step=6 
  {3,4,5,16,20}                  2   1.203    CFH     3081         8000         step=8 
  {3,4,5,17,18}                  1   1.205    CFH     15           64           step=6 
  {3,4,5,17,18}                  2   1.205    CFH     1032         3125         step=5 
